iter	Logloss
0	0.6631557251
1	0.6393805222
2	0.6254608146
3	0.6103803293
4	0.597751037
5	0.5868591903
6	0.5765480072
7	0.5663204433
8	0.5610706079
9	0.5559940938
10	0.5464297963
11	0.5422635522
12	0.5370987372
13	0.5312674533
14	0.5255347037
15	0.5207860897
16	0.517011668
17	0.5145936216
18	0.5120393756
19	0.5087413754
20	0.5059656628
21	0.5044836868
22	0.5013833792
23	0.4988980459
24	0.4965421822
25	0.4948153817
26	0.4905820419
27	0.487466797
28	0.4841206401
29	0.4820291845
30	0.4789282228
31	0.4776728574
32	0.4748127226
33	0.4727924157
34	0.4709977138
35	0.4701340867
36	0.4678724511
37	0.4659517474
38	0.4640696167
39	0.4617360872
40	0.459077938
41	0.4554490388
42	0.4541405044
43	0.4518846447
44	0.4493013848
45	0.448031646
46	0.4466015275
47	0.4437973828
48	0.4424383009
49	0.440776274
50	0.4390576715
51	0.4376117257
52	0.4360201986
53	0.4343422912
54	0.4316241213
55	0.4300621636
56	0.4290592717
57	0.4273143306
58	0.4249799497
59	0.4220077711
60	0.4198122386
61	0.4177482877
62	0.4163553669
63	0.4154231415
64	0.4134755131
65	0.4116975253
66	0.4099002681
67	0.4081099453
68	0.406569243
69	0.4048403957
70	0.4039436726
71	0.4020421635
72	0.3998577044
73	0.3983612633
74	0.3966113538
75	0.3954052689
76	0.3925616269
77	0.3914010888
78	0.3890710814
79	0.3867669178
80	0.3850333035
81	0.3834953305
82	0.3818573885
83	0.3800187273
84	0.3783079065
85	0.3761647029
86	0.3744394358
87	0.3730727936
88	0.3723497494
89	0.3698390883
90	0.3684555782
91	0.3661484107
92	0.3639249744
93	0.3623660388
94	0.3605246244
95	0.3591454704
96	0.3572449444
97	0.3552822399
98	0.3544564827
99	0.3524876218
100	0.3510216937
101	0.3497088154
102	0.3474989556
103	0.3458568758
104	0.3446507914
105	0.3433702754
106	0.3419977189
107	0.3394036992
108	0.3384646614
109	0.3371871919
110	0.334664558
111	0.3338596787
112	0.3333202447
113	0.3327572324
114	0.3312818433
115	0.3300576394
116	0.3288140676
117	0.3273793199
118	0.3255467226
119	0.3246840794
120	0.3239889833
121	0.3229594383
122	0.321809155
123	0.3197459965
124	0.3177822881
125	0.3160663969
126	0.3152456631
127	0.3127468765
128	0.3105452664
129	0.3098488219
130	0.3074205829
131	0.3065794254
132	0.3057363638
133	0.3047541121
134	0.3040235772
135	0.3028185422
136	0.3019796167
137	0.3013837297
138	0.2998443202
139	0.2990852283
140	0.2973054333
141	0.2959672984
142	0.2943982905
143	0.2937791288
144	0.292635611
145	0.2920230753
146	0.2906131229
147	0.2890046916
148	0.2876691464
149	0.2859102363
150	0.284407076
151	0.2830957088
152	0.2817749277
153	0.2808449415
154	0.2802007265
155	0.2795041858
156	0.2775731234
157	0.2759020191
158	0.2749074777
159	0.2730885461
160	0.2720063796
161	0.2702914765
162	0.2687182846
163	0.2679279156
164	0.2669115586
165	0.2660345145
166	0.2644638048
167	0.2638191475
168	0.2629660831
169	0.2623511814
170	0.2617405615
171	0.2605298301
172	0.2601895837
173	0.2587756909
174	0.2581813818
175	0.2569096233
176	0.256517653
177	0.2549375887
178	0.2539281394
179	0.2527797419
180	0.2522703778
181	0.2515173624
182	0.2508562787
183	0.2502009733
184	0.2489598909
185	0.2479213826
186	0.2470768149
187	0.2464001808
188	0.2449163151
189	0.2438094361
190	0.2425568067
191	0.241534872
192	0.2401732664
193	0.2394188092
194	0.2384329928
195	0.2380203883
196	0.2374977144
197	0.236571193
198	0.235128033
199	0.2343993777
