iter	Passed	Remaining
0	6	1250
1	11	1103
2	15	1020
3	20	995
4	24	972
5	28	910
6	31	874
7	35	840
8	39	839
9	43	825
10	47	811
11	50	797
12	54	789
13	64	859
14	72	895
15	79	911
16	85	923
17	91	923
18	95	913
19	100	902
20	104	888
21	107	870
22	111	854
23	114	843
24	119	835
25	123	827
26	128	824
27	132	814
28	136	807
29	140	796
30	144	786
31	149	783
32	153	776
33	164	803
34	170	803
35	175	797
36	179	789
37	183	780
38	187	774
39	191	767
40	196	762
41	201	757
42	205	750
43	210	745
44	214	737
45	218	731
46	223	726
47	227	721
48	232	716
49	236	710
50	242	707
51	246	700
52	250	694
53	254	688
54	259	683
55	263	677
56	268	672
57	272	667
58	276	660
59	279	652
60	284	649
61	289	644
62	294	640
63	299	636
64	303	631
65	308	625
66	311	618
67	315	611
68	318	604
69	322	598
70	325	592
71	330	587
72	334	582
73	339	578
74	344	574
75	349	569
76	354	565
77	358	560
78	362	555
79	366	550
80	371	545
81	375	539
82	379	534
83	382	528
84	386	523
85	390	517
86	394	512
87	398	507
88	403	502
89	407	497
90	410	492
91	415	487
92	419	482
93	423	477
94	427	472
95	431	467
96	435	462
97	439	457
98	443	452
99	447	447
100	451	442
101	455	437
102	460	433
103	465	429
104	470	425
105	474	421
106	478	416
107	483	411
108	487	406
109	491	402
110	495	397
111	499	392
112	503	387
113	507	383
114	511	378
115	515	373
116	519	368
117	524	364
118	529	360
119	534	356
120	538	351
121	542	346
122	547	342
123	551	338
124	556	334
125	560	329
126	565	324
127	568	319
128	572	315
129	575	310
130	580	305
131	584	300
132	588	296
133	592	291
134	598	288
135	603	283
136	607	279
137	612	275
138	617	270
139	620	266
140	624	261
141	629	257
142	633	252
143	638	248
144	643	244
145	648	239
146	653	235
147	658	231
148	663	227
149	668	222
150	672	218
151	677	213
152	681	209
153	685	204
154	689	200
155	694	195
156	698	191
157	702	186
158	707	182
159	713	178
160	718	173
161	722	169
162	726	164
163	730	160
164	734	155
165	738	151
166	742	146
167	747	142
168	750	137
169	754	133
170	758	128
171	763	124
172	767	119
173	772	115
174	776	110
175	780	106
176	784	101
177	788	97
178	792	92
179	796	88
180	799	83
181	803	79
182	807	75
183	811	70
184	815	66
185	819	61
186	823	57
187	827	52
188	830	48
189	834	43
190	838	39
191	841	35
192	845	30
193	850	26
194	854	21
195	858	17
196	861	13
197	866	8
198	869	4
199	873	0
